marque,model,Puissance fiscale,Carburant,Année,Boite de vitesses,etat,price
seat,Leon,7.0,Diesel,2016,Manuelle,0,145000.0
mercedes,Classe,8.0,Diesel,2008,Automatique,0,137000.0
mitsubishi,Pajero,11.0,Diesel,2008,Manuelle,0,62000.0
mercedes,250,8.0,Diesel,1995,Manuelle,0,70000.0
mercedes,Classe,9.0,Diesel,2004,Automatique,0,98000.0
alfa-romeo,Giulia,9.0,Diesel,2022,Automatique,0,380000.0
alfa-romeo,Tonale,8.0,Hybride,2022,Automatique,0,370000.0
jeep,Grand,12.0,Diesel,2017,Automatique,0,370000.0
skoda,Octavia,6.0,Diesel,2021,Automatique,0,220000.0
toyota,Corolla,10.0,Hybride,2023,Automatique,0,225000.0
alfa-romeo,4c,10.0,Essence,2023,Automatique,0,779000.0
jeep,Renegade,6.0,Diesel,2022,Manuelle,0,219999.0
dodge,Caliber,37.0,Essence,2023,Automatique,0,429999.0
honda,Accord,9.0,Diesel,2011,Automatique,0,105000.0
jeep,Renegade,6.0,Diesel,2019,Automatique,0,195000.0
jeep,Renegade,6.0,Diesel,2019,Automatique,0,208000.0
kia,Carens,8.0,Diesel,2009,Manuelle,0,64000.0
jeep,Renegade,6.0,Diesel,2019,Automatique,0,209000.0
citroen,C3,6.0,Diesel,2022,Manuelle,0,139000.0
seat,Leon,8.0,Diesel,2018,Manuelle,0,150000.0
renault,Clio,6.0,Diesel,2020,Manuelle,0,113000.0
kia,Rio,6.0,Diesel,2016,Manuelle,0,95000.0
citroen,C3,6.0,Diesel,2019,Manuelle,0,113000.0
renault,Clio,6.0,Diesel,2017,Manuelle,0,118000.0
seat,Ateca,8.0,Diesel,2019,Automatique,0,275000.0
ford,Kuga,8.0,Diesel,2017,Automatique,0,185000.0
mercedes,Autre,8.0,Diesel,2017,Automatique,0,470000.0
porsche,Cayenne,12.0,Diesel,2018,Automatique,0,530000.0
bmw,X5,8.0,Diesel,2016,Automatique,0,260000.0
volkswagen,Golf,6.0,Diesel,2018,Automatique,0,165000.0
seat,Ibiza,6.0,Diesel,2017,Manuelle,0,118000.0
citroen,C3,6.0,Diesel,2021,Manuelle,0,149000.0
bmw,Serie,8.0,Diesel,2021,Automatique,0,490000.0
renault,Megane,6.0,Diesel,2019,Manuelle,0,159000.0
renault,Clio,6.0,Diesel,2020,Manuelle,0,139000.0
peugeot,208,6.0,Diesel,2020,Manuelle,0,159000.0
mini,Cooper,9.0,Essence,2017,Automatique,0,182000.0
nissan,Qashqai,6.0,Diesel,2017,Manuelle,0,169000.0
nissan,Qashqai,6.0,Diesel,2017,Manuelle,0,169000.0
